name,source,gender,wikidata,type
"Rua Lopo Soares de Albergaria",,,,way
"Rua Luis Ferreira",,,,way
"Rua Luís Neves Real",,,,way
"Rua Luís Veiga",,,,way
"Rua Luís de Aguiar",,,,way
"Rua Luísa Dacosta",,,,way
"Rua Maestro Virgílio Pereira",,,,way
"Rua Manuel António Pina",,,,way
"Rua Manuel Lopes Martins",,,,way
"Rua Manuel Nunes",,,,way
"Rua Manuel Pacheco de Miranda",,,,way
"Rua Manuel Pinheiro da Rocha",,,,way
"Rua Manuel Pinho",,,,way
"Rua Maria Adelaide Freitas Gonçalves",,,,way
"Rua Maria Augusta Pinto Basto Martins",,,,way
"Rua Maria Peregrina de Sousa",,,,way
"Rua Maria de Sousa",,,,way
"Rua Marques de Abreu",,,,way
"Rua Marta Mesquita da Câmara",,,,way
"Rua Marta Sampaio",,,,way
"Rua Martim Moniz",,,,way
"Rua Martins Sarmento",,,,way
"Rua Mestre Albino Moreira",,,,way
"Rua Mestre Mendes da Silva",,,,way
"Rua Miguel Veiga - Rua 2",,,,way
"Rua Monte da Bela",,,,way
"Rua Monte de São João",,,,way
"Rua Moreira da Assunção",,,,way
"Rua N'Dola",,,,way
"Rua Nascente da Colónia Doutor Manuel Laranjeira",,,,way
"Rua Nascente da Quinta do Almor",,,,way
"Rua Nicolau Marques Guedes",,,,way
"Rua Nossa Senhora da Silva",,,,way
"Rua Nova da Corujeira",,,,way
"Rua Nova de Azevedo",,,,way
"Rua Nova de São Crispim",,,,way
"Rua Nova do Regado",,,,way
"Rua Nova do Rio",,,,way
"Rua Nova do Seixo",,,,way
"Rua Nova do Tronco",,,,way
"Rua Nove de Abril",,,,way
"Rua Nuno Grande",,,,way
"Rua Ofélia Diogo da Costa",,,,way
"Rua Oito de Setembro",,,,way
"Rua Oliveira Santos",,,,way
"Rua Orfeão do Porto",,,,way
"Rua Óscar Lopes",,,,way
"Rua Padre Diamantino Gomes",,,,way
"Rua Padre Domingos de Azevedo",,,,way
"Rua Padre José Pacheco do Monte",,,,way
"Rua Padre Leonardo Nunes",,,,way
"Rua Padre Luís Rodrigues",,,,way
"Rua Padre Rebelo da Costa",,,,way
"Rua Padre Rebelo de Sousa",,,,way
"Rua Particular 9 de Julho",,,,way
"Rua Particular Diamantina",,,,way
"Rua Particular da Arroteia",,,,way
"Rua Particular da Tapada de Santo António",,,,way
"Rua Particular de Bonjóia",,,,way
"Rua Particular de Francos",,,,way
"Rua Particular de Justino Teixeira",,,,way
"Rua Particular de Monsanto",,,,way
"Rua Particular de Novais da Cunha",,,,way
"Rua Particular de Santo Isidro",,,,way
"Rua Particular dos Ferroviários",,,,way
"Rua Paula Vicente",,,,way
"Rua Paulo Lauret",,,,way
"Rua Paulo Sarmento",,,,way
"Rua Paulo Vilas Boas",,,,way
"Rua Pereira de Novais",,,,way
"Rua Pêro Vaz de Caminha",,,,way
"Rua Pintor Arpad Szenes",,,,way
"Rua Pirmin Treku",,,,way
"Rua Poente da Colónia Doutor Manuel Laranjeira",,,,way
"Rua Poente da Quinta do Almor",,,,way
"Rua Prof Vasco Sá",,,,way
"Rua Professor Abel Salazar",,,,way
"Rua Professor Abílio Cardoso",,,,way
"Rua Professor Agostinho da Silva",,,,way
"Rua Professor Álvaro Rodrigues",,,,way
"Rua Professor Antão de Almeida Garrett",,,,way
"Rua Professor António Cruz",,,,way
"Rua Professor Armando de Castro",,,,way
"Rua Professor Fernando Magano",,,,way
"Rua Professor Henrique David",,,,way
"Rua Professor Jaime Rios de Sousa",,,,way
"Rua Professor Joaquim Bastos",,,,way
"Rua Professor Luís Costa",,,,way
"Rua Professor Manuel Baganha",,,,way
"Rua Professor Melo Adrião",,,,way
"Rua Professor Rocha Pereira",,,,way
"Rua Professor Vicente José de Carvalho",,,,way
